text
"Apport de la jurisprudence 12 avril 2023 : La cour de cassation considère ici qu’enregistrer un entretien préalable au licenciement ne porte pas atteinte à la vie privée de l’employeur. Si tu le fais, tu ne risques donc a priori pas d’être condamné pénalement pour atteinte à la vie privée !
 ⚠️attention erratum (mauvais montage de la video 😭) cela ne veut pas dire que ce moyen de preuve sera recevable par le juge devant lequel tu contesteras ton licenciement ⚠️ *** Sources : Cass. crim. 12 avril 2023, n°22-83.581 art. 226-1 code pénal art. 427 code de procédure pénale *** Ton entreprise veut te virer, tu es donc convoqué à un entretien préable au licenciement : peux-tu enregistrer ton interlocuteur en cachette ? *** #droitdutravail #employeur #salarié #licenciement #discrimination #harcèlement #viré #éducation #inesdroit"
"Tu me mates salement, je te mate salement ! Technique utile en période estivale ! Essayez et racontez moi vos expériences en commentaire ! #jereposeçalà #harcèlement"
#michelvenum #batman #harcèlement #youtubers Je crois qu'il à compris la leçon 🤣
""
""
